date,total_ridership,day_of_week,daytype,holiday,year,month,week
2001-01-01,105608,Monday,U,New Year's Day,2001,1,1
2001-01-02,419202,Tuesday,W,,2001,1,1
2001-01-03,447997,Wednesday,W,,2001,1,1
2001-01-04,459338,Thursday,W,,2001,1,1
2001-01-05,465940,Friday,W,,2001,1,1
2001-01-06,213259,Saturday,A,,2001,1,1
2001-01-07,141828,Sunday,U,,2001,1,1
2001-01-08,493324,Monday,W,,2001,1,2
2001-01-09,501006,Tuesday,W,,2001,1,2
2001-01-10,502799,Wednesday,W,,2001,1,2
2001-01-11,507352,Thursday,W,,2001,1,2
2001-01-12,505472,Friday,W,,2001,1,2
2001-01-13,225535,Saturday,A,,2001,1,2
2001-01-14,146018,Sunday,U,,2001,1,2
2001-01-15,344203,Monday,W,,2001,1,3
2001-01-16,519595,Tuesday,W,,2001,1,3
2001-01-17,518075,Wednesday,W,,2001,1,3
2001-01-18,516813,Thursday,W,,2001,1,3
2001-01-19,487599,Friday,W,,2001,1,3
2001-01-20,220323,Saturday,A,,2001,1,3
2001-01-21,143734,Sunday,U,,2001,1,3
2001-01-22,500064,Monday,W,,2001,1,4
2001-01-23,509731,Tuesday,W,,2001,1,4
2001-01-24,506794,Wednesday,W,,2001,1,4
2001-01-25,509334,Thursday,W,,2001,1,4
2001-01-26,498613,Friday,W,,2001,1,4
2001-01-27,223883,Saturday,A,,2001,1,4
2001-01-28,145677,Sunday,U,,2001,1,4
2001-01-29,490272,Monday,W,,2001,1,5
2001-01-30,507648,Tuesday,W,,2001,1,5
2001-01-31,509861,Wednesday,W,,2001,1,5
2001-02-01,513837,Thursday,W,,2001,2,5
2001-02-02,482518,Friday,W,,2001,2,5
2001-02-03,220154,Saturday,A,,2001,2,5
2001-02-04,148988,Sunday,U,,2001,2,5
2001-02-05,501577,Monday,W,,2001,2,6
2001-02-06,511471,Tuesday,W,,2001,2,6
2001-02-07,508620,Wednesday,W,,2001,2,6
2001-02-08,509635,Thursday,W,,2001,2,6
2001-02-09,495535,Friday,W,,2001,2,6
2001-02-10,226585,Saturday,A,,2001,2,6
2001-02-11,149332,Sunday,U,,2001,2,6
2001-02-12,450470,Monday,W,,2001,2,7
2001-02-13,520088,Tuesday,W,,2001,2,7
2001-02-14,510244,Wednesday,W,,2001,2,7
2001-02-15,512212,Thursday,W,,2001,2,7
2001-02-16,502270,Friday,W,,2001,2,7
2001-02-17,224899,Saturday,A,,2001,2,7
2001-02-18,147699,Sunday,U,,2001,2,7
2001-02-19,382404,Monday,W,,2001,2,8
2001-02-20,509674,Tuesday,W,,2001,2,8
2001-02-21,501197,Wednesday,W,,2001,2,8
2001-02-22,506349,Thursday,W,,2001,2,8
2001-02-23,503050,Friday,W,,2001,2,8
2001-02-24,206109,Saturday,A,,2001,2,8
2001-02-25,143755,Sunday,U,,2001,2,8
2001-02-26,508816,Monday,W,,2001,2,9
2001-02-27,508857,Tuesday,W,,2001,2,9
2001-02-28,509448,Wednesday,W,,2001,2,9
2001-03-01,516486,Thursday,W,,2001,3,9
2001-03-02,510755,Friday,W,,2001,3,9
2001-03-03,239507,Saturday,A,,2001,3,9
2001-03-04,148899,Sunday,U,,2001,3,9
2001-03-05,459127,Monday,W,,2001,3,10
2001-03-06,504060,Tuesday,W,,2001,3,10
2001-03-07,515004,Wednesday,W,,2001,3,10
2001-03-08,510582,Thursday,W,,2001,3,10
2001-03-09,506658,Friday,W,,2001,3,10
2001-03-10,236555,Saturday,A,,2001,3,10
2001-03-11,157197,Sunday,U,,2001,3,10
2001-03-12,491780,Monday,W,,2001,3,11
2001-03-13,510562,Tuesday,W,,2001,3,11
2001-03-14,517302,Wednesday,W,,2001,3,11
2001-03-15,498256,Thursday,W,,2001,3,11
2001-03-16,487188,Friday,W,,2001,3,11
2001-03-17,287200,Saturday,A,,2001,3,11
2001-03-18,162232,Sunday,U,,2001,3,11
2001-03-19,503148,Monday,W,,2001,3,12
2001-03-20,516402,Tuesday,W,,2001,3,12
2001-03-21,515086,Wednesday,W,,2001,3,12
2001-03-22,515964,Thursday,W,,2001,3,12
2001-03-23,505767,Friday,W,,2001,3,12
2001-03-24,231358,Saturday,A,,2001,3,12
2001-03-25,142594,Sunday,U,,2001,3,12
2001-03-26,487035,Monday,W,,2001,3,13
2001-03-27,501849,Tuesday,W,,2001,3,13
2001-03-28,502755,Wednesday,W,,2001,3,13
2001-03-29,505284,Thursday,W,,2001,3,13
2001-03-30,493071,Friday,W,,2001,3,13
2001-03-31,234633,Saturday,A,,2001,3,13
2001-04-01,160946,Sunday,U,,2001,4,13
2001-04-02,510354,Monday,W,,2001,4,14
2001-04-03,512772,Tuesday,W,,2001,4,14
2001-04-04,522255,Wednesday,W,,2001,4,14
2001-04-05,506543,Thursday,W,,2001,4,14
2001-04-06,510566,Friday,W,,2001,4,14
2001-04-07,248848,Saturday,A,,2001,4,14
2001-04-08,167630,Sunday,U,,2001,4,14
2001-04-09,498094,Monday,W,,2001,4,15
2001-04-10,512202,Tuesday,W,,2001,4,15
2001-04-11,506735,Wednesday,W,,2001,4,15
2001-04-12,508344,Thursday,W,,2001,4,15
2001-04-13,440217,Friday,W,,2001,4,15
2001-04-14,233613,Saturday,A,,2001,4,15
