station_id,stationname,year,month,week,weekly_ridership,monthly_ridership,yearly_ridership
40010,Austin-Forest Park,2001,1,1,6811,37193,466261
40010,Austin-Forest Park,2001,1,2,8574,37193,466261
40010,Austin-Forest Park,2001,1,3,8278,37193,466261
40010,Austin-Forest Park,2001,1,4,8863,37193,466261
40010,Austin-Forest Park,2001,1,5,4667,37193,466261
40010,Austin-Forest Park,2001,2,5,4095,34714,466261
40010,Austin-Forest Park,2001,2,6,8926,34714,466261
40010,Austin-Forest Park,2001,2,7,8749,34714,466261
40010,Austin-Forest Park,2001,2,8,8254,34714,466261
40010,Austin-Forest Park,2001,2,9,4690,34714,466261
40010,Austin-Forest Park,2001,3,9,4269,39576,466261
40010,Austin-Forest Park,2001,3,10,8961,39576,466261
40010,Austin-Forest Park,2001,3,11,8790,39576,466261
40010,Austin-Forest Park,2001,3,12,9123,39576,466261
40010,Austin-Forest Park,2001,3,13,8433,39576,466261
40010,Austin-Forest Park,2001,4,13,441,37860,466261
40010,Austin-Forest Park,2001,4,14,9052,37860,466261
40010,Austin-Forest Park,2001,4,15,8603,37860,466261
40010,Austin-Forest Park,2001,4,16,8872,37860,466261
40010,Austin-Forest Park,2001,4,17,9320,37860,466261
40010,Austin-Forest Park,2001,4,18,1572,37860,466261
40010,Austin-Forest Park,2001,5,18,8103,41390,466261
40010,Austin-Forest Park,2001,5,19,9305,41390,466261
40010,Austin-Forest Park,2001,5,20,9527,41390,466261
40010,Austin-Forest Park,2001,5,21,9108,41390,466261
40010,Austin-Forest Park,2001,5,22,5347,41390,466261
40010,Austin-Forest Park,2001,6,22,2854,41431,466261
40010,Austin-Forest Park,2001,6,23,9804,41431,466261
40010,Austin-Forest Park,2001,6,24,9576,41431,466261
40010,Austin-Forest Park,2001,6,25,9617,41431,466261
40010,Austin-Forest Park,2001,6,26,9580,41431,466261
40010,Austin-Forest Park,2001,7,26,767,41698,466261
40010,Austin-Forest Park,2001,7,27,9807,41698,466261
40010,Austin-Forest Park,2001,7,28,9424,41698,466261
40010,Austin-Forest Park,2001,7,29,9242,41698,466261
40010,Austin-Forest Park,2001,7,30,9386,41698,466261
40010,Austin-Forest Park,2001,7,31,3072,41698,466261
40010,Austin-Forest Park,2001,8,31,5919,41054,466261
40010,Austin-Forest Park,2001,8,32,8830,41054,466261
40010,Austin-Forest Park,2001,8,33,8780,41054,466261
40010,Austin-Forest Park,2001,8,34,9221,41054,466261
40010,Austin-Forest Park,2001,8,35,8304,41054,466261
40010,Austin-Forest Park,2001,9,35,1344,37093,466261
40010,Austin-Forest Park,2001,9,36,9332,37093,466261
40010,Austin-Forest Park,2001,9,37,9265,37093,466261
40010,Austin-Forest Park,2001,9,38,8007,37093,466261
40010,Austin-Forest Park,2001,9,39,9145,37093,466261
40010,Austin-Forest Park,2001,10,40,9483,42441,466261
40010,Austin-Forest Park,2001,10,41,9311,42441,466261
40010,Austin-Forest Park,2001,10,42,9770,42441,466261
40010,Austin-Forest Park,2001,10,43,9073,42441,466261
40010,Austin-Forest Park,2001,10,44,4804,42441,466261
40010,Austin-Forest Park,2001,11,44,4425,38051,466261
40010,Austin-Forest Park,2001,11,45,9348,38051,466261
40010,Austin-Forest Park,2001,11,46,9267,38051,466261
40010,Austin-Forest Park,2001,11,47,7082,38051,466261
40010,Austin-Forest Park,2001,11,48,7929,38051,466261
40010,Austin-Forest Park,2001,12,1,784,33760,466261
40010,Austin-Forest Park,2001,12,48,1295,33760,466261
40010,Austin-Forest Park,2001,12,49,9159,33760,466261
40010,Austin-Forest Park,2001,12,50,8960,33760,466261
40010,Austin-Forest Park,2001,12,51,8655,33760,466261
40010,Austin-Forest Park,2001,12,52,4907,33760,466261
40010,Austin-Forest Park,2002,1,1,5299,37703,491132
40010,Austin-Forest Park,2002,1,2,8843,37703,491132
40010,Austin-Forest Park,2002,1,3,8715,37703,491132
40010,Austin-Forest Park,2002,1,4,8428,37703,491132
40010,Austin-Forest Park,2002,1,5,6418,37703,491132
40010,Austin-Forest Park,2002,2,5,2628,35387,491132
40010,Austin-Forest Park,2002,2,6,8973,35387,491132
40010,Austin-Forest Park,2002,2,7,8900,35387,491132
40010,Austin-Forest Park,2002,2,8,8699,35387,491132
40010,Austin-Forest Park,2002,2,9,6187,35387,491132
40010,Austin-Forest Park,2002,3,9,2548,37225,491132
40010,Austin-Forest Park,2002,3,10,8536,37225,491132
40010,Austin-Forest Park,2002,3,11,9486,37225,491132
40010,Austin-Forest Park,2002,3,12,8581,37225,491132
40010,Austin-Forest Park,2002,3,13,8074,37225,491132
40010,Austin-Forest Park,2002,4,14,8746,39834,491132
40010,Austin-Forest Park,2002,4,15,9171,39834,491132
40010,Austin-Forest Park,2002,4,16,9252,39834,491132
40010,Austin-Forest Park,2002,4,17,9457,39834,491132
40010,Austin-Forest Park,2002,4,18,3208,39834,491132
40010,Austin-Forest Park,2002,5,18,6118,41220,491132
40010,Austin-Forest Park,2002,5,19,9135,41220,491132
40010,Austin-Forest Park,2002,5,20,9283,41220,491132
40010,Austin-Forest Park,2002,5,21,9468,41220,491132
40010,Austin-Forest Park,2002,5,22,7216,41220,491132
40010,Austin-Forest Park,2002,6,22,1701,41174,491132
40010,Austin-Forest Park,2002,6,23,9763,41174,491132
40010,Austin-Forest Park,2002,6,24,9499,41174,491132
40010,Austin-Forest Park,2002,6,25,9949,41174,491132
40010,Austin-Forest Park,2002,6,26,10262,41174,491132
40010,Austin-Forest Park,2002,7,27,9983,43924,491132
40010,Austin-Forest Park,2002,7,28,9501,43924,491132
40010,Austin-Forest Park,2002,7,29,9960,43924,491132
40010,Austin-Forest Park,2002,7,30,9531,43924,491132
40010,Austin-Forest Park,2002,7,31,4949,43924,491132
40010,Austin-Forest Park,2002,8,31,4665,43254,491132
40010,Austin-Forest Park,2002,8,32,9501,43254,491132
40010,Austin-Forest Park,2002,8,33,9943,43254,491132
40010,Austin-Forest Park,2002,8,34,9582,43254,491132
40010,Austin-Forest Park,2002,8,35,9563,43254,491132
40010,Austin-Forest Park,2002,9,35,659,44004,491132
40010,Austin-Forest Park,2002,9,36,9504,44004,491132
40010,Austin-Forest Park,2002,9,37,10622,44004,491132
40010,Austin-Forest Park,2002,9,38,10545,44004,491132
40010,Austin-Forest Park,2002,9,39,10811,44004,491132
40010,Austin-Forest Park,2002,9,40,1863,44004,491132
40010,Austin-Forest Park,2002,10,40,8921,48370,491132
40010,Austin-Forest Park,2002,10,41,11017,48370,491132
40010,Austin-Forest Park,2002,10,42,10399,48370,491132
40010,Austin-Forest Park,2002,10,43,10725,48370,491132
40010,Austin-Forest Park,2002,10,44,7308,48370,491132
40010,Austin-Forest Park,2002,11,44,3044,40987,491132
